TenDiaDanh,DiaChi,NoiDung,ImageURL
Chợ phiên vùng cao Tả Sìn Thàng,N/A,,N/A
Di tích đồi Him Lam,N/A,,N/A
Khu di tích hầm Đờ Cát,N/A,,N/A
Hải đăng Mũi Dinh,"Thôn Sơn Hải, Xã Phước Vinh, Huyện Ninh Phước, Ninh Thuận","Ngọn Hải đăng Mũi Dinh, một công trình kiến trúc nằm trong lòng núi Dinh, bao quanh là đồi cát rộng, được người Pháp xây dựng từ năm 1904, cao 16 mét, tọa lạc trên sườn núi cao 300 mét so với mặt nước biển.",N/A
Bảo tàng Ninh Thuận,"Quảng trường 16/4, Phường Tấn Tài, Thành phố Phan Rang-Tháp Chàm, Ninh Thuận","Bảo tàng Ninh Thuận nằm trong quần thể khuôn viên Quảng trường 16/4, phường Tấn Tài, thành phố Phan Rang – Tháp Chàm. Bảo tàng tỉnh sở hữu một vị trí đắc địa – vị trí vàng của trung tâm thành phố Phan Rang - Tháp Chàm với diện tích: 3.547,14 m2; cách bãi biển Bình Sơn 1,5 km về phía Đông; xung quanh Bảo tàng tỉnh có nhiều dự án quy hoạch, gần trường học quốc tế, chợ đêm du lịch, bệnh viện tỉnh, hệ thống siêu thị, các khu vui chơi giải trí như: lướt ván diều, đua xe trên cát, khu du lịch nghỉ dưỡng Vĩnh Hy….",N/A
Khu du lịch sinh thái Sakai,"KM50 - QL27A, Xã Lâm Sơn, Huyện Ninh Sơn, Ninh Thuận","Vườn Trái Cây Sakai đa sắc màu cùng với những mùi hương lan tỏa đan xen nhau của Sầu Riêng, Bơ , Chôm Chôm, Măng Cụt …v.v",N/A
Làng dệt thổ cẩm Chăm Mỹ Nghiệp,"Quốc lộ 1A, Thị trấn Phước Dân, Huyện Ninh Phước, Ninh Thuận","Nằm trên địa thuộc thị trấn Phước Dân, huyện Ninh Phước, tỉnh Ninh Thuận, cách thị xã Phan Rang 12km về phía Đông Nam. Làng có tên Chăm là Ca Klaing, tên tiếng Việt là Mỹ Nghiệp, một tên gọi được lấy ý nghĩa là nơi sản sinh ra nhà nghề chuyên nghiệp đẹp đẽ.",N/A
Làng nghề gốm Bàu Trúc,"Quốc lộ 1A, Thị trấn Phước Dân, Huyện Ninh Phước, Ninh Thuận","Nằm cách thành phố Phan Rang khoảng 10km về phía Nam, ngay trên đường quốc lộ 1A, làng gốm Bàu Trúc là địa giới thuộc thị trấn Phước Dân, huyện Ninh Phước, tỉnh Ninh Thuận",N/A
Đền Bà Chúa Kho,"Làng Cô Mễ, Phường Vũ Ninh, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Đền Vua Bà,"Nằm giữa quần thể kiến trúc khu Viêm Xá (tên nôm làng Diềm), Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Đình Đẩu Hàn,"Thôn Đẩu Hàn, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Lễ hội chùa Đống Lân,N/A,,N/A
Chùa Đống Lân,N/A,,N/A
Vườn hoa cẩm tú,"Nằm tại xóm Phia Đén, Xã Thành Công, Huyện Nguyên Bình, Cao Bằng",,N/A
Đèo Mã Phục,"Xóm Cao Xuyên, xã Quốc Toản, Huyện Trà Lĩnh, Cao Bằng",,N/A
Lễ hội Đền Vua Lê,"Làng Đền, Xã Hoàng Tung, Huyện Hoà An, Cao Bằng",,N/A
Hồ Thang Hen,"Hồ Thang Hen thuộc địa phận xã Quốc Toản, Huyện Trà Lĩnh, Cao Bằng",,N/A
Vườn Quốc gia Phja Oắc - Phja Đén,"Nằm trên địa bàn 4 xã: Thành Công, Quang Thành, Phan Thanh, Hưng Đạo và thị trấn Tĩnh Túc, Huyện Nguyên Bình, Cao Bằng",,N/A
Lễ hội Đền Kỳ Sầm,"Bản Ngần, Xã Vĩnh Quang, Thành phố Cao Bằng, Cao Bằng",,N/A
Lễ hội đền Dẻ Đoóng,"Làng Dẻ Đoóng, Xã Hồng Việt, Huyện Hoà An, Cao Bằng",,N/A
Chùa Phật tích Trúc Lâm Bản Giốc,"Tọa lạc trên ngọn núi Phia Nhằm, Xã Đàm Thuỷ, Huyện Trùng Khánh, Cao Bằng",,N/A
Đồn Phai Khắt,N/A,,N/A
Chùa Vân An,"Làng Chùa, Xã Hồng Trị, Huyện Bảo Lạc, Cao Bằng",,N/A
Đền Vua Lê,"Làng Đền, Xã Hoàng Tung, Huyện Hoà An, Cao Bằng",,N/A
Lễ hội pháo hoa Quảng Uyên,N/A,,N/A
Lễ hội Thanh Minh,"Dân tộc Nùng An, Xã Phúc Sen, Huyện Quảng Uyên, Cao Bằng",,N/A
Lễ hội Mời Mẹ Trăng,N/A,,N/A
Lễ hội Lồng Tồng,"Các huyện, xã ở Cao Bằng có người Tày – Nùng sinh sống, Cao Bằng",,N/A
Khu di tích Chủ tịch Hồ Chí Minh với chiến dịch biên giới 1950,"Khu di tích tại Nà Lạn, cách thành phố Cao Bằng 60 km đi theo đường quốc lộ số 4, Xã Đức Long, Huyện Thạch An, Cao Bằng",,N/A
Di tích Hoàng Đình Giong,"Làng Nà Toàn, Phường Đề Thám, Thành phố Cao Bằng, Cao Bằng",,N/A
Nhà thờ Chính tòa Bắc Ninh,N/A,,N/A
Giếng Ngọc - Đền Cùng,"Khu Viêm Xá, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Làng tranh Đông Hồ,"Làng tranh Đông Hồ, Xã Song Hồ, Huyện Thuận Thành, Bắc Ninh",,N/A
Lăng Kinh Dương Vương,"Thôn Á Lữ, Xã Đại Đồng Thành, Huyện Thuận Thành, Bắc Ninh",,N/A
Thành cổ Luy Lâu,N/A,,N/A
Văn Miếu Bắc Ninh,"Thuộc Khu 10, Phường Đại Phúc, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Đền Dẻ Đoóng,"Đền Dẻ Đoóng cách trung tâm thành phố Cao Bằng khoảng 20km, Xã Hồng Việt, Huyện Hoà An, Cao Bằng",,N/A
Khu di tích anh hùng liệt sỹ Kim Đồng,"Làng Nà Mạ, Xã Trường Hà, Huyện Hà Quảng, Cao Bằng",,N/A
Đền Kỳ Sầm,N/A,,N/A
Làng rèn Phúc Sen,N/A,,N/A
Di tích Pắc Bó,N/A,,N/A
Khu di tích rừng Trần Hưng Đạo,N/A,,N/A
Khu di tích Đông Khê,N/A,,N/A
Động Ngườm Ngao,N/A,,N/A
Thác Bản Giốc,N/A,,N/A
Thành cổ Bắc Ninh,"Làng Hòa Ðình, Phường Vệ An, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Chùa Tiêu Sơn,"Xưa có tên là chùa Lục Tổ, tọa lạc ở sườn núi Tiêu, Xã Tương Giang, Thị xã Từ Sơn, Bắc Ninh",,N/A
Chùa Sùng Phúc,"Làng Huyền Ru, Thị trấn Thanh Nhật, Huyện Hạ Lang, Cao Bằng",,N/A
Chùa Đà Quận,"Làng Đà Quận, Xã Hưng Đạo, Thành phố Cao Bằng, Cao Bằng",,N/A
Lễ hội chùa Phật Tích,"Nằm ngang trên núi Tiên Du (còn gọi là Lạn Kha), Xã Phật Tích, Huyện Tiên Du, Bắc Ninh",,N/A
Lễ hội chùa Dâu,N/A,,N/A
Lễ hội đình Đình Bảng,"Làng Đình Bảng, Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",,N/A
Lễ hội làng tranh Đông Hồ,"Làng tranh Đông Hồ, Xã Song Hồ, Huyện Thuận Thành, Bắc Ninh",,N/A
Lễ hội đền Vua bà,"Làng Viêm Xá, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Lễ hội đền Bà Chúa Kho,"Làng Cô Mễ, Phường Vũ Ninh, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Lễ hội chùa Bút Tháp,"Thôn Bút Tháp, Xã Đình Tổ, Huyện Thuận Thành, Bắc Ninh",,N/A
Làng quan họ Viêm Xá,"Làng Diềm Xá, Phường Hòa Long, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Làng nghề đúc đồng Đại Bái,"Làng Bưởi, Xã Đại Bái, Huyện Gia Bình, Bắc Ninh",,N/A
Lễ hội làng Đồng Kỵ,N/A,,N/A
Đền thờ Lê Phụng Hiểu,"Thuộc khu Hòa Đình, Phường Võ Cường, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Chùa Phúc Lâm,"Nằm ở phía Tây làng Tam Tảo , Xã Phú Lâm, Huyện Tiên Du, Bắc Ninh",,N/A
Đình - Chùa Khúc Toại,"Nằm ở gần đường Đường Đê, Phường Khúc Xuyên, Thành phố Bắc Ninh, Bắc Ninh",,N/A
Chùa Dạm,N/A,,N/A
Chùa Đại Bi,"Thôn Vạn Ty, Xã Thái Bảo, Huyện Gia Bình, Bắc Ninh",,N/A
Hội Lim,"Đồi Lim, Thị trấn Lim, Huyện Tiên Du, Bắc Ninh",,N/A
Lễ hội đền Đô,"Làng Ðình Bảng, Phường Đình Bảng, Thị xã Từ Sơn, Bắc Ninh",,N/A
Chùa Tổ (Phúc Nghiêm tự),"Làng Mãn Xá, Xã Hà Mãn, Huyện Thuận Thành, Bắc Ninh",,N/A
Chùa Tam Sơn,"Thuộc làng Tam Sơn, Xã Tam Sơn, Thị xã Từ Sơn, Bắc Ninh",,N/A
Thác Roọm,"Cách thị xã Bắc Kạn khoảng 8km, Xã Quang Thuận, Huyện Bạch Thông, Bắc Kạn",,N/A
Thác Đầu Đẳng,"Thác Đầu Đẳng là một thắng cảnh trong khu vực Vườn quốc gia Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
Đền Thắm,"Đền có địa thế dựa vào chân núi nhìn ra ngã ba con sông Cầu, thuộc thị trấn Chợ Mới, Huyện Chợ Mới, Bắc Kạn",,N/A
Điểm du lịch Phya Khao,"Cách trung tâm Tỉnh Bắc Kạn khoảng 57 km, Huyện Chợ Đồn, Bắc Kạn",,N/A
Chùa Thạch Long,N/A,,N/A
Vườn Quốc Gia Ba Bể,"Là một vườn quốc gia, rừng đặc dụng, khu du lịch sinh thái của Việt Nam, Huyện Ba Bể, Bắc Kạn",,N/A
Di tích Đèo Giàng,"Cách thành phố Bắc Kạn 24km về phía bắc, Huyện Ngân Sơn, Bắc Kạn",,N/A
Chợ tình Xuân Dương,"Cách thị xã Bắc Kạn 45km, Xã Xuân Dương, Huyện Na Rì, Bắc Kạn",,N/A
Lễ hội Lồng tồng,"Lễ hội được tổ chức tại ven hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
Lễ hội Đền Từ Hả,N/A,,N/A
Lễ hội Thổ Hà,"Làng Thổ Hà, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,N/A
Lễ hội Yên Thế,"Khu di tích lịch sử Hoàng Hoa Thám, thị trấn Cầu Gồ, Huyện Yên Thế, Bắc Giang",,N/A
Lễ hội Suối Mỡ,"Tại Đền Mẫu Đầm Đa ở khu du lịch sinh thái Suối Mỡ, Xã Nghĩa Phương, Huyện Lục Nam, Bắc Giang",,N/A
Làng gốm Thổ Hà,"Làng gốm Thổ Hà thuộc vùng Kinh Bắc, nằm ven dòng sông Cầu, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,N/A
Khu di tích Khởi nghĩa Yên Thế,"Cách Thành phố Bắc Giang 28 km về phía Tây Bắc, Huyện Yên Thế, Bắc Giang",,N/A
Cây dã hương nghìn năm tuổi,N/A,,N/A
Hồ Khe Chão,"Hồ Khe Chão thuộc địa bàn thôn Tẩu, Xã Long Sơn, Huyện Sơn Động, Bắc Giang",,N/A
Chùa Kim Tràng,N/A,,N/A
Chùa Vẽ,"Chùa Vẽ thuộc làng Vẽ, Phường Thọ Xương, Thành phố Bắc Giang, Bắc Giang",,N/A
Đền Nguyệt Hồ,N/A,,N/A
Thác Ba Tia,"Cách TP Bắc Giang hơn 80km, Huyện Sơn Động, Bắc Giang",,N/A
Cánh Đồng Hoa Hướng Dương,"Phố Thanh Mai, Phường Đa Mai, Thành phố Bắc Giang, Bắc Giang",,N/A
Khu Du Lịch Sinh Thái Đồng Thông,"Nằm cách Hà Nội chừng 140km, Huyện Sơn Động, Bắc Giang",,N/A
Khu bảo tồn thiên nhiên Tây Yên Tử,"Cách Hà Nội chừng 150km về phía Đông Bắc, Huyện Sơn Động, Bắc Giang",,N/A
Lăng Dinh Hương,"Là một quần thể kiến trúc điêu khắc đá hoành tráng, thuộc làng Dinh Hương, xã Đức Thắng, Huyện Hiệp Hòa, Bắc Giang",,N/A
Thác nước Hang Chiêng - Khe Nương Dâu,N/A,,N/A
Thành cổ Xương Giang,"Xương Giang là một thành cổ hiện chỉ còn lại tàn tích, Phường Xương Giang, Thành phố Bắc Giang, Bắc Giang",,N/A
Tây Yên Tử,"Tây Yên Tử phía Đông thuộc Quảng Ninh, phía Tây thuộc Bắc Giang, Huyện Sơn Động, Bắc Giang",,N/A
Lễ hội Xuân Ba Bể,"Lễ hội đầu năm của đồng bào các dân tộc vùng hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
"Khu ATK, Chợ Đồn Bắc Kạn","Thuộc quần thể di tích Việt Bắc, Thị trấn Bằng Lũng, Huyện Chợ Đồn, Bắc Kạn",,N/A
Di tích Đồn Phủ Thông,"Cách thành phố Bắc Kạn 18 km về phía bắc, Thị trấn Phủ Thông, Huyện Bạch Thông, Bắc Kạn",,N/A
Khu di tích lịch sử Nà Tu,"Cách thị xã Bắc Kạn 9km về phía bắc, Xã Cẩm Giàng, Huyện Bạch Thông, Bắc Kạn",,N/A
Khu Bảo Tồn Thiên Nhiên Kim Hỷ,"Nằm trên địa bàn các xã Kim Hỷ, Lương Thượng, Lạng San, Ân Tình, Côn Minh, Huyện Na Rì, Bắc Kạn",,N/A
Hồ Sinh Thái Bản Chang,"Cách Trung tâm huyện lỵ huyện Ngân Sơn 6 Km về phía nam, Xã Đức Vân, Huyện Ngân Sơn, Bắc Kạn",,N/A
Đèo Gió,"Nằm trên trục đường Quốc lộ 3 đoạn từ Bắc Kạn lên Cao Bằng, Huyện Ngân Sơn, Bắc Kạn",,N/A
Thác Nà Khoang,"Nằm dưới chân núi “Già Cáy” thuộc bản Nà Khoang, Thị trấn Nà Phặc, Huyện Ngân Sơn, Bắc Kạn",,N/A
Động Hua Mạ,"Thuộc bản Pắc Ngòi, Xã Quảng Khê, Huyện Ba Bể, Bắc Kạn",,N/A
Động Nàng Tiên,"Cách thị trấn Yến Lạc 5 km về phía đông, xã Lương Hạ, Huyện Na Rì, Bắc Kạn",,N/A
Động Nả Phoòng,"Nằm trong Vườn quốc gia hồ Ba bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
Đền An Mã,"Toạ lạc trên đảo An Mã giữa hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
Thác Bạc bản Vàng,"Cách động Hua Mạ 3km về phía tây bắc, Xã Hoàng Trĩ, Huyện Ba Bể, Bắc Kạn",,N/A
Bản Du Lịch Pác Ngòi,"Cách thị xã Bắc Kạn khoảng 50km, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
Đảo Bà Góa,"Nằm gọn trong hồ Ba Bể, nằm trên địa bàn 5 xã Nam Mẫu, Khang Ninh, Cao Thương, Quảng Khê, Cao Trĩ, Huyện Ba Bể, Bắc Kạn",,N/A
Ao Tiên,"Nằm ở góc hồ ba của hồ Ba Bể, Xã Nam Mẫu, Huyện Ba Bể, Bắc Kạn",,N/A
Làng nghề tương Bần,N/A,"Nhắc đến những điểm du lịch nổi tiếng tại Hưng Yên thì không được quên làng nghề làm tương Bần ở thị trấn Bần Yên Nhân, huyện Mỹ Hảo, Hưng Yên.  Đây cũng là địa chỉ làm tương bần ngon nhất cả nước và còn được xuất khẩu ra thế giới.",N/A
Làng nghề Đúc đồng Lộng Thượng,"Làng Lộng Thượng, Xã Đại Đồng, Huyện Văn Lâm, Hưng Yên","Làng nghề đúc đồng Lộng Thượng, xã Đại Đồng hiện có hơn 200 hộ với hơn 800 người. Hiện nay, trong thôn thu hút trên 70 lò đúc, tạo việc làm thường xuyên cho khoảng 700 lao động với mức thu nhập bình quân 10 triệu đồng/người/tháng.",N/A
Hồ Bán Nguyệt,"đường Bãi Sậy, Phường Quang Trung, Thành phố Hưng Yên, Hưng Yên","Nếu ai đã từng một lần đặt chân đến Hưng Yên, thì không thể không ghé đến hồ Bán Nguyệt. Hồ Bán Nguyệt Hưng Yên xưa nay là thắng cảnh thu hút khách du lịch. Bất cứ ai đến nơi đây đều mang trong mình ấn tượng sâu đậm về phong cảnh hữu tình, không gian thoáng đãng, cùng các lễ hội được tổ chức hàng năm. Hồ Bán Nguyệt nằm giữa lòng xã Hưng Yên, một nét duyên dáng trong khung cảnh phố phường sầm uất, điểm xuyết phố phương nơi đây.",N/A
Đình Đa Ngưu - Đình trăm cột,N/A,"Tọa lạc giữa làng Đa Ngưu tại xã Tân Tiến, huyện Văn Giang, đình Đa Ngưu hay còn gọi ""đình trăm cột"" là một ngôi đình cổ của tỉnh Hưng Yên còn giữ được khá nguyên vẹn bố cục cũng như cảnh quan kiến trúc và các di vật quý giá.",N/A
Đền Phượng Hoàng,N/A,"Đền Phượng Hoàng hay còn gọi là đền Cúc Hoa tọa lạc tại xã Minh Tiến, huyện Phù Cừ, tỉnh Hưng Yên. Ngôi đền là nơi thờ bà Cúc Hoa, vợ của Lưỡng quốc Trạng nguyên Tống Trân.",N/A
Cụm di tích đền Đa Hòa - đền Dạ Trạch - cửa Hàm Tử - Bãi Sậy,N/A,"Thuộc địa phận huyện Khoái Châu (tỉnh Hưng Yên), cách Hà Nội hơn 20km về phía đông và cách trung tâm TP. Hưng Yên khoảng 35km về phía tây bắc, với những giá trị nhân văn, lịch sử rất đặc biệt còn được lưu giữ tới ngày nay, cụm di tích đền Đa Hòa – đền Dạ Trạch – cửa Hàm Tử – Bãi Sậy là điểm đến thu hút đông đảo dân địa phương và du khách gần xa.",N/A
Chùa Thái Lạc,N/A,"Tương truyền, chùa được khởi dựng trên gò đất cao mà dân gian vẫn thường gọi là trên lưng con rùa, hai bên nước chảy ra sông như là hai rồng con chầu vào rồng mẹ như hướng chầu hổ phục. Ngôi chùa được khởi dựng từ thời Trần, xây theo hướng Đông Nam, là hướng biểu tượng cho sự sinh sôi và phát triển.",N/A
Chùa Phú Thị,N/A,"Chùa Phú Thị tọa lạc trên một khuôn viên rộng, nằm phía ngoài và sát ngay chân đê sông Hồng, thuộc xã Mễ Sở, huyện Văn Giang, tỉnh Hưng Yên. Chùa được xây dựng theo kiểu chữ “Đinh” (丁), cửa nhìn về hướng Tây Nam và có tên Hán là Hưng Phúc Tự.",N/A
Chùa Hương Lãng,"Thôn Hương Lãng, Xã Minh Hải, Huyện Văn Lâm, Hưng Yên","Chùa Hương Lãng, còn gọi là chùa Lạng hay chùa Giác Viên, tọa lạc tại thôn Hương Lãng, xã Minh Hải, huyện Văn Lâm, tỉnh Hưng Yên. Ngoài thờ Phật, chùa Hương Lãng còn thờ Hoàng Thái Hậu Ỷ Lan - một người phụ nữ giỏi việc nước đảm việc nhà dưới thời Nhà Lý. Đây là một công trình kiến trúc nghệ thuật đẹp, có giá trị lịch sử văn hóa và khoa học.",N/A
Văn Miếu Hưng Yên,"Làng Xích Đằng, Phường Lam Sơn, Thành phố Hưng Yên, Hưng Yên","Văn Miếu Hưng Yên được khởi dựng vào thế kỷ 17, trên nền của chùa làng Xích Đằng, xã Nhân Dục, tổng An Tảo, huyện Kim Động xưa, nay là phường Lam Sơn, Tp. Hưng Yên. Văn Miếu được trùng tu, tôn tạo nhiều nhất vào năm Kỷ Hợi, niên hiệu Minh Mệnh thứ 20 (1839).",N/A
Làng Rượu Vân Hà,"Rượu Làng Vân được nấu bằng gạo nếp cái hoa vàng thơm ngon trồng trên cánh đồng làng Vân Xá, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,N/A
Núi Dành,"Cách thành phố Bắc Giang 20 km về phía Tây Bắc, Xã Liên Chung, Huyện Tân Yên, Bắc Giang",,N/A
Làng nghề Thổ Hà,"Làng Thổ Hà nằm dọc theo dòng chảy của bờ bắc sông Cầu, Xã Vân Hà, Huyện Việt Yên, Bắc Giang",,N/A
Hồ Cấm Sơn,"Nằm thuộc địa phận Xã Sơn Hải, Xã Hộ Đáp, Xã Tân Sơn, Xã Cấm Sơn, Huyện Lục Ngạn, Bắc Giang",,N/A
Làng Nôm,N/A,"Làng Nôm thuộc xã Đại Đồng, huyện Văn Lâm tỉnh Hưng Yên, cách thủ đô Hà Nội khoảng 20km. Năm tháng trôi qua, làng Nôm vẫn là mảnh đất được người dân Hưng Yên trân trọng, gìn giữ. Trước cuộc sống nhộn nhịp, xô bồ, thật khó có nơi nào mà người ta cảm thấy yên bình đến vậy. Những nét đẹp kiến trúc, văn hóa và con người vẫn vẹn nguyên sau hơn 200 năm biến động.",N/A
Làng nghề đan đó Thủ Sỹ,N/A,"Làng nghề đan đó xã Thủ Sỹ, huyện Tiên Lữ, tỉnh Hưng Yên đã có tuổi nghề hơn 200 năm đến nay vẫn tồn tại. Đó là công cụ thường dùng để đánh bắt tôm, cua, cá… quen thuộc của người nông dân đồng bằng Bắc Bộ Việt Nam.",N/A
Đồng Cao Bắc Giang,"Đồng Cao được biết đến là một cao nguyên nhỏ bản Gà, xã Thạch Sơn, Huyện Sơn Động, Bắc Giang",,N/A
Đền Thiên Hậu,"56 đường Trưng Trắc, Phường Quang Trung, Thành phố Hưng Yên, Hưng Yên","Đền Thiên Hậu được 40 dòng họ người Quảng Đông, Quảng Tây, Phúc Kiến ở Trung Quốc xây dựng vào năm 1640. Đền được xây dựng theo lối kiến trúc Trung Hoa trên nhiều phương diện, như Tam quan, nhà tế, mái đền, đao góc và kết cấu vì kèo. Đền được thiết kế, đục đẽo trang trí hoa văn sẵn từ Trung Quốc, rồi chở sang Việt Nam  cất dựng.",N/A
Đền Quốc Mẫu Âu Cơ,"Thôn Tân Hưng, Xã Hùng Cường, Thành phố Hưng Yên, Hưng Yên","Đền Quốc Mẫu Âu Cơ toạ lạc bên bờ sông Hồng thuộc xã Hùng C­ường thành phố Hưng Yên. Đây là ngôi đền mang vẻ tĩnh mịch với ba bề là cánh đồng, phía còn lại giáp với sông Hồng. Cách đó không xa là ngôi chùa cổ, tôn nghiêm họp thành một khu di tích hoang sơ, cổ kính.",N/A
Bản Đá Húc,"Nằm cách trung tâm xã Bình Sơn hơn 8 km về phía Bắc, Xã Bình Sơn, Huyện Lục Nam, Bắc Giang",,N/A
Đền Phượng Hoàng,"Thôn Phượng Hoàng, Xã Minh Tiến, Huyện Phù Cừ, Hưng Yên","Đền có kiến trúc theo hình chữ tam, kiểu chồng giường đấu xen. Hai đầu là hai cột trụ, đầu cột tạo dáng hình búp sen. Hàng kèo chạm hoa dây mềm mại.",N/A
Chùa Phúc Lâm,"Thôn La Mát, Xã Phù Ủng, Huyện Ân Thi, Hưng Yên","Chùa Phúc Lâm Hưng Yên nằm ở thôn La Mát, xã Phù Ủng, huyện Ân Thi, tỉnh Hưng Yên. Đây là một địa điểm du lịch tâm linh hấp dẫn chỉ cách Hà Nội khoảng 1 tiếng chạy xe. Với khung cảnh của làng quê yên bình, thanh tịnh cùng với lối kiến trúc bắt mắt, chùa Phúc Lâm Hưng Yên đã trở thành ngôi chùa thu hút nhiều du khách đến tham quan.",N/A
Chùa Chuông,"Thôn Nhân Dục, Phường Hiến Nam, Thành phố Hưng Yên, Hưng Yên","Từ Hà Nội, theo quốc lộ 5 khoảng 28km về phía đông, du khách sẽ tới thị trấn Phố Nối. Từ đây, đi tiếp theo quốc lộ 39 khoảng 34km về phía nam sẽ tới chùa Chuông.",N/A
Mộ Cổ Đống Thếch,"xóm Chiềng Đông, Xã Vĩnh Đồng, Huyện Kim Bôi, Hoà Bình","Nằm ở xóm Chiềng Đông, xã Vĩnh Đồng, huyện Kim Bôi, tỉnh Hòa Bình, Mộ Cổ Đống Thếch trước kia được xem như chốn linh thiêng bất khả xâm phạm đối với người dân nơi đây.",N/A
Hang Chiều,N/A,"Hang Chiều là một trong số các điểm du lịch nổi tiếng của thị trấn Mai Châu, Hòa Bình. Đây được coi là viên ngọc đen giữa Mai Châu huyền bí. Mỗi khi bình minh lên và hoàng hôn buông xuống, hang Chiều lung linh từng góc cạnh vốn đã được thiết kế một cách kỳ diệu của tạo hóa lại càng trở nên lộng lẫy, hấp dẫn. Những lớp thạch nhũ sáng rực thu hút mọi ánh nhìn của du khách ngay từ khi bước vào cửa hang.",N/A
Động Thác Bờ,"xóm Bưng, Xã Suối Hoa, Huyện Tân Lạc, Hoà Bình","Từ TP. Hoà Bình, theo quốc lộ 6 về phía nam hơn 20km đến thị trấn Cao Phong, rẽ phải đi tiếp một đoạn nữa, du khách sẽ đến bến thuyền du lịch Thung Nai (xã Thung Nai). Từ đây, du khách lên thuyền, ngược dòng sông Đà chừng 17km sẽ cập bến Ngọc dưới chân núi Chủa.",N/A
Đền Bồng Lai,"khu 3, Thị trấn Cao Phong, Huyện Cao Phong, Hoà Bình","Tọa lạc tại chân núi Đầu Rồng, thuộc khu 3, thị trấn Cao Phong, tỉnh Hòa Bình, cách trung tâm thành phố Hòa Bình khoảng 10km về phía nam, đền Bồng Lai (hay còn gọi là đền Thượng Bồng Lai) thờ Đệ nhị thượng ngàn tiên nương (tức Cô Đôi Thượng Ngàn) và các chư vị tiên thánh Tứ Phủ. Tương truyền, đây là nơi Cô Đôi gặp Thánh Mẫu Đệ nhị (Mẫu Thượng Ngàn) và là nơi hóa của Cô.",N/A
Bản Văn Mai Châu,N/A,"Bản văn điểm du lịch đẹp Mai Châu Hòa Bình chỉ đứng sau khu du lịch bản lác, từ trung tâm Thị trấn Mai Châu men theo con đường nhựa trải dài thẳng tắp nằm giữa những chân ruộng bậc thang khoảng 1km từ quốc lộ 15 đến bản Văn, một bản làng yên ả nằm ngay dưới chân núi pù Văn nơi sinh sống của đồng bào dân tộc Thái.",N/A
Bản Pom Coọng,N/A,"Pom Coọng nghĩa là bản của những quả đồi nằm trên cái trống lớn, ngụ ý chỉ đồng ruộng – một cái tên giàu tượng hình và nhiều ý nghĩa. Pom Coọng đã được biết đến là một làng văn hóa, làng du lịch, điểm đến hấp dẫn với du khách thập phương với gần 70 hộ và hơn 300 nhân khẩu.",N/A
Bản Ngòi,N/A,"Bản Ngòi được hình thành sau khi nhà nước quyết định đắp đập, ngăn dòng sông Đà để xây dựng Thủy điện Hòa Bình. Thuở xa xưa, bản nằm sâu dưới chân núi; sau khi mực nước dâng lên; người dân tại bản di tải lên vị trí cao hơn men sườn núi. Bản Ngòi Hoa nằm ven bờ sông Đà (hồ Hòa Bình), nằm tách biệt so với thế giới bên ngoài. Phương thức di chuyển thuận tiện và phổ biến nhất đến bản Ngòi là di chuyển bằng thuyền trên hồ Hòa Bình.",N/A
Bản Giang Mỗ,N/A,"Bản Giang Mỗ (xã Bình Thanh, huyện Cao Phong, tỉnh Hòa Bình) được biết đến như một điểm du lịch văn hoá cộng đồng hấp dẫn. Không gian yên bình ở Giang Mỗ khiến nơi đây trở thành chốn dừng chân lý tưởng cho những ai muốn tạm lánh không khí ồn ào, náo nhiệt nơi phố thị.",N/A
Bản Đá Bia,N/A,"Bản Đá Bia (xã Tiền Phong, huyện Đà Bắc, tỉnh Hòa Bình), nơi có những ngôi nhà sàn cổ làm Homestay, những món ăn dân dã của người Mường Ao Tá, những chum rượu cần đặc sánh ngọt lịm, những nét văn hóa đặc trưng đậm chất “bản địa” mộc mạc, dễ gần, mến khách, những vẻ đẹp thiên nhiên kì vĩ mà thơ mộng làm ngây ngất lòng người.",N/A
